,name,scores,texts
2270,375810331,5,It is a good example of how children can get along. Cleverly written and emphasizing the right things. Good for ages 2 and up. We listen to the CD of the music around Christmas when we get tired of elevator Christmas music.
2271,375810331,5,"My son loves Arthur, and can't get enough of this Christmas episode! It is a nice one to watch together as a family, and it is a shorter film, so my son maintains interest."
2272,375810331,5,My five year old grandson absolutely loved it. He actually watched it 3 times and then still wants to watch it again.
2273,375810331,5,My kids still watch it over and over again even though it is not winter anymore.... fun for all ages
2274,375810331,5,This is such a nice Christmas video. The story line is good with several plots intertwining. One of our favorite picks for the season. It is appealing for both small children and older.
2275,375810331,4,"Since discovering Arthur on my iPad, my 5 year old granddaughter has asked to watch it at least once a day. Too much screen time for her, but I know she would give you a big thumbs up! I hope you can continue to offer more educational, fun PBS programs for intelligent children. Thanks, I guess, for Arthur!"
2276,375810331,5,Fun family times with good family values. My 6 year old daughter will watch this over and over again every few weeks.
2277,375810331,4,Arthur is always on the top of my child's list. Never naughty and always nice.this one bring joy to us all and to all a good night
2278,375810331,3,"My special needs grand daughter took a little extra time and found she had the dvd so never reviewed it. In the mean time the return window expired for a full refund and exchange. So, I am not reviewing the movies but I think around the holidays there should be extra time for a child to review their gifts. I will send the movies back. arthurs perfect christmas and good sport."
2279,375810331,5,"My kids have been asking for this video (kids are in their late teens and 20s). It was a favorite of their's when they were little, and now it's finally available on DVD. The movie is perfect, shipping was fast. Love it!"
2280,375810331,4,"Bought this for my daughter and she really likes it, she saw it prior to purchase so new it would be a hit"
2281,375810331,5,I was so excited Christmas morning when I received this DVD as a gift. I have been looking for it since my teenagers were little and we watched it as a PBS special. We settled in and watched it with joy and excitement. My kids and I enjoyed recapturing a small part of their preschool years!! Thanks to my sister and Amazon for a great gift!
2282,375810331,5,"We had this on VHS, and wanted to update our collection.  Years later this movie is still a hit with our girls.  it's a family tradition now to watch this.  Arrived in great condition!"
2283,375810331,5,"I saw this movie on tv and loved it. Since my daughter loves watching Arthur, i knew she would like this Christmas Arthur movie. I ordered it for her, got it within 1 week, and she loves it! Great seller, DVD came in perfect condition, just as advertised. Great Christmas movie for any Arthur fan!"
2284,375810331,5,"This brings back great memories!  I love this Christmas special! The playback was excellent, and te audio was very clear!"
2285,375810331,4,LOVE this movie!  All time family favorite since the kids were small...we watch it every year.  glad to find it on dvd.
2286,375810331,4,"I choose this rating because it's ""Authur"" a very wholesome cartoon for this generation of children.  The only reason as to why it did not receive 5 stars was because the voices are different...I'm not one for changing character voices although I realize Authur can't stay eight years old forever.  I just like the focus being in the everyday life of a little boy who's dealing with growing pains lol.  I would recommend it however don't depend on the episode to put you in the Christmas spirit alone... :)"
2287,375810331,5,My children LOVED this movie growing up. We love watching it together now that they are grown. So happy to see it available in DVD format. BEST.Movie. EVER!
2288,375810331,5,"Perfect for the holidays in grade 1.  Lessons include customs and traditions in other countries, being thankful for our families, how to handle getting a gift you didn't think you wanted and it's told through our beloved Arthur."
2289,375810331,5,"My sister couldn't have been happier to receive it.  We watch it every year on Christmas Eve.  Absolutely no problems with the tape itself and the box was in great shape too.  I was worried it wouldn't get to me in time, but it came very quickly.  Great seller, I'm very thankful"
2290,375810331,5,"I've grown up watching the show Arthur and have always loved the show. And I have always loved this Christmas movie. I searched and searched last year for this DVD but couldn't find a good deal on it. I am so happy they finally put it on DVD! I'm 22 years old and I STILL love watching this movie every Christmas. If you grew up watching Arthur, you'll like Arthur's Perfect Christmas :)"
2291,375810331,5,"Timeless classic. Superb Arthur video, perfect for everyone.  We all love it and know the songs.  Wouldn't be a merry Christmas without it."
2292,375810331,5,"My family and I love this Holiday special.  In fact, we think it is one of the best we have ever seen.  We look forward to seeing it every year on PBS and decided that we should have our own copy. Why do we love Arthur's Perfect Christmas?  Well, it is family friendly, entertaining AND educational.  They discuss Christmas, Hanukkah, Kwanzaa, St. Lucia Day and a non-religious celebration all wrapped up with an interesting story (and a lesson or two) about friendship, family and the true spirit of the holiday season-regardless of your religion. Definitely a classic in the making-a must see!"
2293,375810331,3,I rented this movie for my kids this weekend while we were laid up with fevers.  It was just okay...  I found it was educational regarding other cultural and religious celebrations surrounding Christmas-time.  But I'm annoyed by whining.  Arthur's little sister is bossy and whiny and speaks in an ugly tone - not how I want my children to talk to each other OR to me.  This is why I rated it low.
2294,375810331,5,Arthur's Perfect Christmas is a great movie that my little sister and I started watching when we where 10 and 12 and now we are 22 and 24 we still watch it every Christmas morning right when we get up! Its a great movie and its fun to watch!
2295,375810331,5,"This is such a great family movie.  Reminds me of when my sons where very young.  And now, even though they  are entering their teen years, they were still enthralled.  There's just something comforting about an old family favorite."
2296,375810331,5,"Our family watches this every year at Christmastime.  It's a great little story...Arthur has to rethink what it means to have A PERFECT CHRISTMAS when things don't go as planned.  Helps kids understand that it's good to be resilient.  Also, it reveals what truly is most important.  I like the Arthur series, because the characters are all so believable...they all have their struggles and strengths.  Just like us!"
2297,375810331,5,"By far this is my kids' favorite Christmas movie. At first when they were really young I worried about the obvious dilemna the mother had about not finding the Hot Toy that year, giving away the secret to Christmas ""magic"".  But they never made the connection.  Every year since, they have asked to watch this movie on the way back from Grandma and Grandpa's house in the car on Christmas Eve. This year, we can't find the DVD in our Christmas bins! I'm so relieved to find it here on Amazon because it's pretty old (not sure why to says it was released this year, it's at least 10 years old). My kids are now 11 and 13 and still say it's their favorite. I'm buying another one. It's a very sweet movie."
2298,375810331,5,My 7 year old and 3 year old enjoyed the movie. Both were engaged in watching the show. They liked the songs.
2299,375810331,5,worth the $$ to purchase my little guy loves Arthur.  Merry Christmas and Happy New Year to you all !!
2300,375810331,5,"Arthur's Perfect Christmas is a tradition in our family.  It used to be shown on PBS Kids every year and so we got the CD so we could sing the songs in the car.  Then they stopped showing it and it wasn't available on Netflix so I bought the DVD.  My 16 year old son who grew up with Arthur was so happy to share the movie with his 8 year old sister who hasn't seen it since she was very little.  Francine sings a Hanukkah song and The Brain a Kwanzaa song and there is just so much holiday fun - this will very quickly become a favorite in your house, as well!!"
2301,375810331,5,"I already knew what I was getting when I ordered this; I've seen the televised special about a dozen times.  Our local PBS station has not been broadcasting it recently, so when I saw it was coming to DVD (and at a great price)I just grabbed it.  This disc is pretty bare-bones, but I wasn't getting it for behind-the-scenes information or a lofty commentary.  I just wanted to see Arthur and his friends.  This does the trick.

The special is an hour instead of the series' usual half-hour.  The extra time is nicely used to show the different ways that Arthur's friends celebrate the holidays.  We learn that the Brain and his family celebrate Kwanzaa, that Francine and the rest of the Frenskys go to the movies on Christmas, and that Muffy is too oblivious to realize that her insistence on Christmas parties and trappings is offensive to her friend Francine.  We see Buster and his mother, and a sweet, sweet depiction of how Binky Barnes spends his Christmas.  DW and her lust for this year's Christmas ""it"" and Arthur's wish to give his mother the perfect present are the components of the A story.

Sweet, gentle, appealing to both children and adults, ""Arthur's Perfect Christmas"" is a treasured addition to our holiday movie/special stash."
2302,375810331,5,This is one of the best children's videos to introduce other holidays and traditions in addition to Christmas. So glad I bought it.
2303,375810331,3,"Looking for something to watch with the kids (3 & 7), threw a dart at the free ""Amazon Prime Kids' Videos"" and watched this.  It is reasonably enjoyable but not much more.  There are quite a few story lines going on at once (Buster's mom and her emotional issues at Christmas, Arthur's search for the perfect Christmas present for mom, DW's anxiety over whether or not she'll get what she really wants from Santa, etc) so it isn't really focused enough to command much of an identity.  It's hard to capture much magic with a few too many varied story lines shifting back and forth.  My biggest complaint is the very forced multicultural element - not surprising since this is a PBS program, but it felt too educational & preachy in its covering of all the faith bases.  I'd prefer they make some unique holiday shows about Hanukkah and Kwanza instead of forcing the politically correct gamut at the expense of a more engaging story.
I imagine if your kids are fans of Arthur they'll enjoy this one just fine.  There's nothing especially wrong with it, but there's also nothing especially memorable about it either.  Worth a rental at best."
2304,375810331,2,My kids are young (under the age of 4) and couldn't get into this. Plus I don't enjoy movies about Christmas when they're really about being politically correct.
2305,375810331,5,My family loves this movie.  We've watched it ever since it came out.  My 4 boys are now ages 13-20 and on Christmas eve we all watched it together...and sang along to all the songs. I love how all the different holidays and traditions are represented and there are no apologies made for any of them. I think it will be our new family tradition!
2306,375810331,5,"I HAVE THIS MOVIE ON VHS. NO DOUBT IT;S A WONDERFUL HOLIDAY MOVIE. BUT ALMOST 42.00 FOR THE MOVIE IS TOO,TOO MUCH."
2307,375810331,5,I have been watching this movie since i was a wee little lad and i still love it and watch it every christmas and whenever i feel like watching it cause it is soo good. it has good songs that are fun to sing along to and has some good lessons in it and even some good cooking lessons. it is informational about christmas and i just love this movie reccomend it to kids and grown up of all ages.
2308,375810331,5,"this movie is awesome! i watched it on pbs when younger and came across it , so i decided to get it and now im happy i did. arthurs perfect christmas is a christmas movie you can watch any time of the year and feel like christmas as already here... it also has great songs in it that you can sing along with...if you don't own one, you gotta get one now!!"
2309,375810331,5,My family loves this movie and had the VHS version. The VHS was wearing out and so I gave them the DVD for Christmas. Anyone with little kids should purchase this DVD to add to their Christmas collections.
2310,375810331,1,"This is one of my sons' favorite holiday movies. They began watching it when they were 7,4 and 2 and have continued to watch it several times every holiday season. They are now 18, 15 and 13."
2311,375810331,5,the product arrived in perfect condition and in a timely manner.  i would order from this person again was very pleased.
2312,375810331,5,"I personally like this show because it shows a brief glimpse of the Swedish holiday St. Lucia Day celebrated by George's family.  (Oddly enough St. Lucia's story originates in Italy, but is not celebrated there.  Even swedes have no idea why we celebrate it  . . . I guess because it is so dark in the winter there.)  Also, the Brain's family celebrates Kwanza, an african american holiday created in the 1960's, I believe."
2313,375810331,5,"this is a complex but fun look at the holidays- ALL the holidays, in the modern spirit, while holding to tradition. there is silliness and education. there is much for kids to learn in this movie, and much to ponder.
there is patronage paid to all the celebrations, without being just PC about it.
There is the christian sacred and historical element at the same time.

there are disappointments and expectations.

and there is rain.

there is growing up to be done at christmas.

and perfection is found in the imperfect.
(which sounds like true christmas to me!)

ps: this is also like an hour long, so there is LOTS of info and songs and junk in it! this is a treat for any Arthur episode, which are usually only 12 min."
2314,375810331,1,This was terrible I never even received this item I only forgot about it because of the holidays.  I was so busy I only remembered when my children had asked to watch it on pbs
2315,375810331,5,"We bought this for our nieces. We are Marc Brown fans and have enjoyed Arthur for years. My children have enjoyed this DVD since it was released, the main characters celebrate the holiday season in their own unique ways. The program includes different religions and traditions."
2316,375810331,5,"Purchased to replace a lost VHS copy, this DVD was perfect.  Great packaging, good quality, and a excellent price.  It may not be some highly praised show, but I've always loved it and this DVD was exactly what I wanted."
2317,375810331,5,My sister and I have watched Arthur since 1997 and we love it! I'm now  in college still watch the show when I have time.  Arthur's Perfect Christmas is a great movie to watch during the holidays. If you haven't seen it you should.
2318,375810331,5,I was very pleased with my purchase.  Received it very quickly and it was in perfect (seemed new) to me.  I would most definitely order from them again.
2319,375810331,5,We own a lot of kid's DVD's and this one is my 4 year old's favorite.
2320,375810331,5,My whole family has watched Arthur since 1997 and we love it! My kids are now teenagers and still love to watch this show. Arthur's Perfect Christmas is one of our favorite holiday shows. We hope Arthur continues forever!
2321,375810331,4,"Love Athur, and love this movie.  I am so glad I added it to my collection of Holiday favorites."
2322,375810331,5,This movie is perfect if you have young children. My daughters are 8 and 4 and they love Arthur.
2323,375810331,5,"Item came in perfect shape & timing. Great service & saved me hours & gas trying to find it.

Thanks,

Nelda"
2324,375810331,5,We should all be as lucky as Arthur and have the perfect christmas with snow.  We were all happy for Arthur.  Great Christmas DVD.  The whole family enjoyed it.
2325,375810331,5,"My 4-year-old daughter LOVES this DVD. It is a perfect movie for the holidays. A nice message, catchy tunes - WE LOVE IT!"
2326,375810331,5,"If you're familiar with the Arthur program airing on PBS, you already know just how clever this show can be. Created by Marc Brown and based on his books, Arthur Read is an aardvark who shares adventures (and misadventures!) with friends like Buster Baxter (a rabbit), Francine Frensky (a monkey), Binky Barnes (a bulldog), Muffy Crosswire (a very RICH monkey), and others. Arthur is often at odds with his little sister D.W. (Dora Winifred) which makes for much of the shows comedic moments.

In Arthur's Perfect Christmas, the scene begins with Arthur sitting at the piano, softly playing Pachebel's Canon. This movie, like the TV show, uses day-dream sequences--and Arthur plunges into a snazzy song called ""Perfect Christmas"". You see, this holiday, Aruthur wants it to be absolutely PERFECT...but things go wrong in the town of Elwood City, for both Arthur AND his friends!

For example, Muffy expects Francine to attend her big Christmas party, but Francine has told Muffy REPEATEDLY that her family is having a Hannukah gathering the same night. What happens when Francine doesn't show up for the party to receive her present?

Buster Baxter worries about his Mom who seems to obsess over having a perfect Christmas for her son, especially since the divorce. Buster comes up with ""Baxter Day"" which takes the pressure of his Mom and displays the true meaning of the holidays--love and kindness.

Arthur searches the mall for presents for his parents, D.W. is desperate for a Tina the Talking Tabby (whose theme song haunts Arthur everywhere he goes!), Uncle Fred makes an unexpected visit on his way to a Floridian Christmas, and Arthur's Dad insists on making an ""authentic"" dinner that was likely served in Bethlehem over 2000 years ago.

Holidays such as Kwanzaa and Hanukkah are also highlighted making this a fun and informative DVD.

I bought the Arthur's Perfect Christmas DVD for my son several years ago and it's STILL his favorite. I just brought out the Christmas DVD's and VHS's and he plays this one several times a day. It's filled with fun songs (24 of them!), witty banter, and clever wordplay. Not only that, there's a great message that expectations often disappoint and that a wonderful experience can arise out of mishaps and situations not going as planned.

This 60 minute DVD doesn't have any extras (except for previews of other Arthur DVD's), but this excellent movie is well worth the price in my opinion. My husband and I get a kick out of the cleverness shown in Arthur TV series and this movie is no exception. And as I said, it's my son's favorite holiday movie.

Highly recommended for kids and parents alike!"
2327,375810331,5,"I can't believe this only got 4 stars. I have a 9-year old and a 3-year old. They love the movie so much they watch it year round. Arthur has a perfect Christmas because of his family and friends and there is no mention of what he got for Christmas: I find that refreshing. There is a very respectful treatment of everyone else's holiday traditions, whether they celebrate Hanukah, Kwannza or nothing at all."
2328,375810331,4,"I'm a fourteen year old guy and I still love this show as does my older brother who is nineteen. The jokes in the tv episodes go way over some kids heads and even over some adult's and when you catch them you wanna pee your pants. In this movie its less of the adult jokes, more random funny stuff. You have to love the way that in this movie (and alot of the episodes) they have a great way of ripping on toys/movies/books...Its awesome. With how cheap you can get this I would have to say...Watch the show first then go for it."
2329,375810331,5,"""What a wonderful kind of day when we can learn to work & play & get along with each other!""

Arthur is a rare kind of cartoon that is made for everyone; it is about a community of very different characters that live together peacefully and are accepting of one another.  No matter how different they are from each other, they ""get together and make things better by working together,"" with open eyes, ears, and minds, knowing that ""every day when you're walking down the street, everybody that you meet has an original point of view.""  The Arthur Christmas special does exactly what is expected of it: it applies the cartoon's main theme to the holiday season & places it in a story told from the point of view of a little boy who always tries to understand others' points of view.  It may not be everyone's perfect Christmas, but it is ""ARTHUR'S Perfect Christmas.""

On this page we have another case of people reviewing their religion instead of the DVD.  Don't be turned off by the reviews that say Arthur is anti-Christian; all of my family and friends, both Christian and non-Christian, love watching the Arthur special with their kids every year.  (Contrary to the popular misunderstanding, the holiday now known as Christmas was not invented as a Christian holiday; it was only adopted by Christians in the 1800s, so there is no reason that all Christmas specials have to be Christian Christmas specials.)  Also, consider the source of a critique before letting it affect your decision to see the movie.  For example, puremorals4ever over-criticized Arthur in his review in the name of his religion, though he gave 5 stars to SpongeBob SquarePants, which had a Christmas special that was very much less catering to the reviewer's fundamentalist Christianity than the Arthur special was.

After reading all of the reviews, I STILL don't know if it this DVD is good enough in quality to replace my old VHS copy.  Reviewers, tell me about the special features; tell me about the sound and picture quality; tell me if it doesn't work in some DVD players.  Each shopper has a different idea of what a ""puremoral"" is; shoppers don't care if the storywriters' values are different from those of one individual buyer.  What shoppers want to know about is the quality of the DVD, not whether or not you agree with the Arthur writers' message that a community works best when each person works together and realizes that others have views that are different from their own."
2330,375810331,5,We have watched this Arthur movie countless times. We celebrate Chanukah and enjoy watching Francine celebrate with her family...it is always a beautiful moment when the menorah is lit for everyone to see. You can be of any religious faith to enjoy this movie...the kids and I love it(and I'm 40!) We highly recommend it.
2331,375810331,5,"A great holiday favorite with lots of music, and different holiday traditions to learn about!! Highly recommened!!"
2332,510539610,5,"This is a great product! I appreciate how well each exercise is described and shown visually so it's easy to follow along without feeling like you need a translator to understand them.  I also like the fact that I can DO the exercises as shown (and I am no gymnast...just an everyday mom).  I highly recommend this product!

S. Bharteey"
2333,510539610,5,"If your doctor has recommended pelvic floor physical therapy this a good alternative to scheduling times at a clinic.  Within three weeks of beginning the program, three times per week, I had significant improvement.  That was just using the first 3 workouts on the dvd.  I haven't attempted the fourth workout yet.  Not that it looks too hard, I just want to get a pilates ball if I'm going to do it. These exercises work more than just the pelvic floor.  There are several muscles that work in conjunction as is explained on the dvd.  It also shows patients of all ages and fitness levels performing the exercises so don't be put off if you're out of shape - they aren't that hard to do. I planned to go on to a clinic if this wasn't helping me but that won't be necessary now.  Saved me time and money. Well worth the $29 to see if it will work for you."
2334,510539610,5,Great DVD.  I feel healthier and happier after including the exercises into my routine.  Thanks to Tasha Mulligan for creating the DVD.  I only wish that I knew about the exercises years ago!
2335,510539610,5,I can't say enough great things about this DVD - excellent!!
2336,510539610,5,"I've gone through all four workouts in about five weeks, and I have seen a very significant improvement!  If only I had known earlier that you really can improve your situation all on your own!"
2337,510539610,5,Great workout! Really great details on how to do the workouts with the option to skip the teachings and just do the workout alone.
2338,510539610,5,Very helpful info
2339,510539610,3,The person that presented the video was very knowledgeable but it could've been presented in a more interesting way so it was more engaging.
2340,510539610,5,"I bought after I had a vaginal wall prolapse after having my first child  due coughing super hard from bronchitis.  I was pregnant with my second child, and did not want to that happen again.  Even with only using this 1-2 times per week, I noticed a big difference.  I would definitely recommend this to anyone with vaginal wall prolapse, or anyone with stress urinary incontinence.  The video is boring, but it works!"
2341,510539610,1,"I discovered I had a vaginal prolapse after having issues removing a tampon (I typically wear pads, but was in a bind back in May and wore a tampon for the first time in my life). The prolapse is most likely from the birth of my daughter two years ago. I began my research on what to do for it, as I don't want to have or eventually have surgery for it (I've heard way too many horror stories). I started doing this DVD back in the very beginning of June...and instead of doing it three times a week, I ramped it up to roughly one workout every day/other day. I cycled through exercises one through four for each day I did it. I went out and bought an exercise ball (well, two - a large and a small) and additional stretch bands. I also did kegals, as suggested, throughout the day everyday (held kegal for 8 seconds with four quick flicks). It is now mid-July and my vaginal prolapse is no better and no worse than when I started the exercises. Literally no improvement whatsoever.

Does this have the possibility to help other women? It apparently has and probably will for some, but it did absolutely nothing for me."
2342,510539610,5,I have not tried yet but am excited to try. The cost of this is A LOT cheaper than a physical therapy appointment. After  having a severely complicated hysterectomy/bladder mesh surgery this gives me hope. Will update after using for a few weeks. I also urge anyone considering surgery....PLEASE CONSIDER PHYSICAL THERAPY BEFORE GOING UNDER THE KNIFE!! Surgery complications CANNOT BE UNDONE!
2343,510539610,4,Good exercises for pelvic flood
2344,510539610,5,Excellent!
2345,510539610,5,"Every woman in midlife, or before, should own this DVD."
2346,510539610,5,"Excellent teaching and exercises for pelvic organ prolaspe. DVD is excellent! I  am glad I found out about this DVD.  I am going to a physical therapist  and this was just a reinforcement and some extra info the PT did not cover. Need to learn as much as possible to recover and live a life again.  I am 60 and have a mild prolaspe of bladder, rectum , uterus,  and cervix. I could not function without a tremendous amount of pelvic pressure before starting physical therapy, now after 2 1/2 months, I was able to hike up to 12 miles again, bike, and garden. Doctor had suggested surgery or pessary, but so far I have just been faithful in the exercises given and have seen great results!"
2347,510539610,5,Life changing! I was so depressed after I got a pelvic prolapse after working out too hard after having my 3rd baby! Now I feel back to normal and my abs are amazing! I did this video only 5x a week for 6 weeks and didn't lift anything heavier than my baby! Can't wait to try the advanced video!
2348,510539610,5,"I am 61 and recently had trouble with leakage when running or doing high-intensity cardio exercise.  I'm in my second week of Pelvic Floor DVD, still on exercise group 1, but can now do high jumps, 18 at a time without a problem and jumping jacks.  I also notice the feeling to urinate all the time is disappearing. I kept doing the full workout with the explanation as I was not certain I was doing it correct but I have now moved on to the express workout. Will work on No. 2 next and continue.

I like the fact that Tasha works the surrounding muscles to help support the pelvic muscles.  I also like her manner and presentation; it is straight forward aid direct.

I also like the fact I did not receive any e-mails begging for reviews as is common from other vendors."
2349,510539610,5,Very helpful post birth of my baby.
2350,510539610,3,"I don't know how to write a review for this product. I have issues with the DVD like other people have had (How do I contact you, seller?!). So far it's only been on the time efficient workout section right when the anatomy animation happens. I've only been through workout 1 and half of 2. I have yet to see if it skips on workout 3 and 4 and the time efficient workouts 2-4.

I do not have a quality review yet of the actual program and if it works yet, but I plan to update my review after a few weeks.

However, if you go to her website: hab-it.com and go to the ask Tasha section she is responsive, encouraging, and kind. That gives me hope in a hopeless situation."
2351,510539610,5,Good workout pelvic issues ..
2352,510539610,1,Returned; the DVD is defective.
2353,510539610,1,Open your package right away. Mine didn't have a DVD inside. I waited too long to check mine  and I couldn't return it.
2354,510539610,5,working great
2355,510539610,5,This video has really helped my glutes and lower back!
2356,510539610,5,"This is an amazing PT workout.  After being diagnosed with slight prolapse after the birth of my first child I started to do these workouts.  She explains each exercise thoroughly.  After a few weeks, my prolapse felt almost gone.  Then I got the stomach flu so didn't do these exercises for a week and the prolapse got noticeably worse again.  Anyways I  am now back to doing these exercises again.  I am sold on these and would recommend them to anyone postpartum, even somebody who doesn't have a diagnosed prolapse.  An extra bonus is that my husband absolutely loves how I hold myself using the posture this video not only explains but also strengthens the right muscles to enable you to hold during the day.  I have also tried a couple workout videos from Whole Woman and met with a WW representative, but in my opinion the workouts on this PT video are far superior.  This really is a good buy to have several PT workouts for less than the price of one PT appointment."
2357,510539610,5,"I've started the first workout and feel how my pelvic muscles work. I've been diagnosed with a mild bladder prolapse and hope to see results within weeks. So far, I liked the first workout."
2358,510539610,5,Anyone dealing with a prolapse NEEDS to get this movie. It seriously helped me
2359,510539610,5,Good program for pelvic floor strengthening!
2360,510539610,2,"The DVD was blank, unfortunately."
2361,510539610,1,"The material was probably good, but the DVD could not be maneuvered from segment to segment.  In other words, you could watch it all the way through, but if you wanted to focus on one of the segments and skip another, that could not be done.  I had others try the DVD on other DVD players with he same outcome.  Unfortunately, because of that, I returned the DVD."
2362,510539610,2,Maybe not.
2363,510539610,5,Definitely helped me with reducing my frequent urination when I utilize the exercises...even from day one!
2364,510539610,5,"I was having pelvic floor issues after a homebirth of my fifth child. I felt like my organs were falling out after I was standing only for 10 minutes or so. This completely fixed that feeing in less than a week! I did the entire program. I thought it was well explained, a good amount of time, and nicely progressive. I'm soooooo glad I purchased this."
2365,510539610,5,"I was devastated when I experienced a bladder prolapse after the birth of my baby.  My midwife recommended a costly physical therapist to correct the issues, and when one appointment cost me $200 I decided to give this a try first.  I stuck with exercise #1 and despite my best efforts only squeezed in the workouts about every three days.  However, it still worked!  After a few weeks my symptoms had almost entirely disappeared, and I was back to my favorite exercise of walking hills, now with a much more informed and capable ""basket.""  I enjoy the exercises so much (they simply feel good) I'm continuing on now, in my second month of doing them, and look forward to further results.  Highly recommended!"
2366,510539610,4,Good!
2367,510539610,4,"Works well, just wish I stuck with it more"
2368,510539610,5,Awesome explanations.  Easy to do.  Time efficient.  I absolutely hate to exercise and I've been able to stick to this so far for a few weeks.  I haven't completed the full 6 weeks yet which is when you are supposed to start seeing results.  I've seen a slight Improvement at the 2-week Mark.
2369,510539610,5,1 in 3 women need to do these excercises.
2370,510539610,3,"Really had high hopes after reading reviews for this; however, I have not seen an improvement after using for a few months. Giving 3 stars since things are not getting worse either. I do plan to continue to use this DVD since I am not seeing any worsening symptoms even though I remain very active and lift and carry my 3 year old who weighs 33 lbs."
2371,510539610,5,"Very helpful, excellent  !"
2372,510539610,5,"As I've become peri-menopausal I've experienced stress incontinence. This DVD reduced the symptoms after 4 weeks and has continued to be helpful to the point where I am not experiencing stress incontinence at all. An unexpected bonus-- my posture has improved a great deal as a result of this DVD because it exercises core muscles in addition to the pelvic floor. In general I've found the exercises good, although I am unable to do the squats in the workouts because of an ankle stability problem. (I've substituted wall squats instead.) I will continue with these exercises and am adding core exercises because they are very helpful in daily living."
2373,510539610,5,"Been using every day for 2 years. Love this product. Although doesn't make the prolapse better, great for strengthening your core.  Lots less pain at night when I do my exercises."
2374,510539610,5,Very organized exercise program to address pelvic floor issues.  The use for women is emphasized. I wonder if men can benefit from the exercises. Exercises are fairly brief (under a half hour) and totally doable by and almost 70-year-old. Thank you for a holistic approach.
2375,510539610,5,It helped with my moderate uterine prolapse.
2376,510539610,5,I found myself dealing with a prolapse 6 weeks postpartum with my fifth child. As a very active person I did not feel like this should be a controlling factor in my life and immediately began looking for some solutions. I quickly ruled out surgery as anything but a last resort since it seemed to have lots of risk and little return. So I decided to check into rehabilitation. That is when I cam across this DVD and promptly ordered it figuring it was way cheaper than doing PT in an office somewhere. I have now been doing these workouts for over 2 months and they have made a HUGE difference! I am now hopeful that by the time my baby is weaned I will be back to full speed. I have noticed Tasha has an advanced workout now out and I am hoping to get it at some point and maybe I will be able to return to running again!
2377,510539610,2,"This DVD is easy to understand and is highly recommended by reviewers.  However, I have to say after doing 3 of the sessions, I just could not take the boredom of it.  The exercises are fine, it is the instructor.  She says the exact same words every time.  And I was not motivated by the fact that she is dressed in street clothes. The whole thing felt odd and I have ordered another DVD."
2378,510539610,5,Well produced and helpful exercises. Found I saw results within just a few weeks.
2379,510539610,4,"The animations were helpful for understanding the musculature involved in the exercises, which made a big difference in how I was doing them and my success in strengthening my pelvic floor. I used this video regularly for a couple months. During the same time, I used pelvic weights. I think both were helpful and I met my goals. This video would benefit from an update. Also, the short version cut some transition time between exercises and was hard to keep up with, but the long version wasn't needed after the first couple times through."
2380,510539610,5,I've been doing the workout for about a month and I'm already noticing results and I'm only on workout one. The education given on anatomy and how you need more than just kegels to strengthen your pelvic floor and get improved continence is really helpful. I'm very happy with the program.
2381,510539610,5,"I bought the digital download ($13) from the hab-it website.  (I did not receive any discounts or promotions.) I have three children and was having some pretty severe issues after the third birth.  Wow, I wish I had known about it before!  Would totally buy again; cheaper than one PT session! Great, progressive PT exercises.  After 2 months of doing them about 5 times a week it has made a huge difference with my 'undercarriage' problems, which were getting pretty bad and which are now about 90% better.  It also helped the small amount of abdominal separation I had from the pregnancy!

Definitely watch the intros at least once; they help make the exercises more effective.  I find that a small portion of my bedroom floor (or even the bed) and an inexpensive child's ball are sufficient for most exercises.  It does take about 29 minutes to go through each routine, but it's worth it."
2382,510539610,5,This is a well done CD and I recommend it.
2383,510539610,1,"The exercises appear to be great but the DVD is NOT closed captioned! As a hearing impaired consumer, I am extremely disappointed that it isn't captioned. I have my t.v. volume up almost all the way and am still having a hard time understanding the instructions. Please, be decent and caption the thing!"
2384,510539610,4,I would have given it 5 stars if the quality of the actual video had been better.  I am hopeful that this video will help strengthen my pelvic wall and help my uterine prolapse. I will write more as I continue to us it as to whether it helps or not.
2385,510539610,5,Excellent
2386,510539610,4,So far so good!
2387,510539610,5,"This is a fantastic program! I injured my low back several years ago ruptured two discs and ended up with nerve roots contacted on both sides of my spine. As a result I have dealt with terrible sciatica down both legs and pelvic floor dysfunction as a result of the lack of movement in my pelvic region. Having worked with professional physical therapists with little success, I had almost given up hope of ever regaining function in my low back and pelvic floor. From the first time I pressed play and went through the workout I could feel a huge difference. The functional approach to the entire pelvic floor and supporting muscles was exactly what I needed. For the first time in years I have hope that my condition has and will continue to improve and consequently grant me better functionality and pain relief. If you aren't sure about this purchase I can tell you there's nothing to lose and everything to gain by trying this program. Your body will thank you and your work will reward you with a better quality of life."
2388,510539610,5,"I started seeing results from this program after the second workout. It's easy to follow, doesn't take a big time commitment, and does exactly what it says. I recommend it to anyone struggling with pelvic floor issues. Great program!"
2389,510539610,5,Superb!  Just need to use it regularly.
2390,510539610,2,"If you have already been to a pelvic physical therapist then this is not for you. I would say this is strictly for beginners, but even still I didn't think there was much substance to this video."
2391,510539610,5,I went to physical therapy for pelvic floor help after having my first baby.  This video is pretty much exactly what they taught me!  I highly recommend this postpartum.  Especially since its hard to get out of the house with a new baby.
